time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
2.609993,0.020369,-0.001756,-0.000134
2.614993,0.020377,-0.001715,-0.000208
2.619992,0.020382,-0.001672,-0.000252
2.624992,0.020388,-0.001602,-0.000302
2.629992,0.020391,-0.001552,-0.000334
2.634991,0.020396,-0.001447,-0.000360
2.639991,0.020399,-0.001367,-0.000389
2.644991,0.020406,-0.001254,-0.000437
2.649990,0.020411,-0.001183,-0.000484
2.654990,0.020419,-0.001097,-0.000568
2.659990,0.020425,-0.001047,-0.000644
2.664989,0.020432,-0.000969,-0.000763
2.669989,0.020436,-0.000912,-0.000862
2.674989,0.020442,-0.000821,-0.000999
2.679988,0.020447,-0.000770,-0.001064
2.684988,0.020455,-0.000702,-0.001168
2.689987,0.020460,-0.000663,-0.001221
2.694987,0.020468,-0.000623,-0.001278
2.699987,0.020473,-0.000596,-0.001297
2.704986,0.020480,-0.000561,-0.001309
2.709986,0.020486,-0.000542,-0.001313
2.714986,0.020500,-0.000512,-0.001323
2.719985,0.020514,-0.000472,-0.001337
2.724985,0.020542,-0.000419,-0.001350
2.729985,0.020565,-0.000379,-0.001367
2.734984,0.020607,-0.000321,-0.001392
2.739984,0.020640,-0.000270,-0.001422
2.744983,0.020697,-0.000188,-0.001465
2.749983,0.020738,-0.000136,-0.001510
2.754983,0.020806,-0.000090,-0.001560
2.759982,0.020856,-0.000078,-0.001584
2.764982,0.020937,-0.000060,-0.001630
2.769982,0.020995,-0.000050,-0.001647
2.774981,0.021086,-0.000042,-0.001650
2.779981,0.021149,-0.000025,-0.001651
2.784981,0.021246,-0.000002,-0.001684
2.789980,0.021314,0.000013,-0.001706
2.794980,0.021421,0.000031,-0.001747
2.799979,0.021494,0.000028,-0.001765
2.804979,0.021607,0.000022,-0.001774
2.809979,0.021683,0.000033,-0.001786
2.814978,0.021799,0.000057,-0.001790
2.819978,0.021878,0.000084,-0.001779
2.824978,0.021997,0.000114,-0.001765
2.829977,0.022076,0.000121,-0.001751
2.834977,0.022196,0.000129,-0.001751
2.839977,0.022277,0.000123,-0.001759
2.844976,0.022399,0.000129,-0.001749
2.849976,0.022481,0.000143,-0.001747
2.854975,0.022602,0.000170,-0.001746
2.859975,0.022683,0.000182,-0.001758
2.864975,0.022801,0.000194,-0.001778
2.869974,0.022879,0.000196,-0.001792
2.874974,0.022995,0.000176,-0.001817
2.879974,0.023072,0.000169,-0.001810
2.884973,0.023185,0.000145,-0.001753
2.889973,0.023260,0.000136,-0.001700
2.894973,0.023370,0.000161,-0.001617
2.899972,0.023443,0.000182,-0.001587
2.904972,0.023553,0.000230,-0.001549
2.909971,0.023624,0.000269,-0.001536
2.914971,0.023731,0.000314,-0.001517
2.919971,0.023800,0.000337,-0.001504
2.924970,0.023903,0.000345,-0.001520
2.929970,0.023971,0.000373,-0.001546
2.934970,0.024073,0.000384,-0.001579
2.939969,0.024141,0.000363,-0.001616
2.944969,0.024240,0.000333,-0.001679
2.949969,0.024306,0.000319,-0.001716
2.954968,0.024403,0.000310,-0.001740
2.959968,0.024466,0.000311,-0.001727
2.964967,0.024559,0.000312,-0.001696
2.969967,0.024620,0.000326,-0.001677
2.974967,0.024709,0.000390,-0.001638
2.979966,0.024766,0.000441,-0.001591
2.984966,0.024851,0.000501,-0.001505
2.989966,0.024906,0.000536,-0.001454
2.994965,0.024988,0.000581,-0.001391
2.999965,0.025042,0.000596,-0.001368
3.004965,0.025123,0.000601,-0.001347
3.009964,0.025177,0.000606,-0.001342
3.014964,0.025260,0.000598,-0.001343
3.019964,0.025315,0.000593,-0.001329
3.024963,0.025402,0.000570,-0.001320
3.029963,0.025461,0.000578,-0.001306
3.034962,0.025553,0.000580,-0.001280
3.039962,0.025616,0.000587,-0.001275
3.044962,0.025711,0.000619,-0.001255
3.049961,0.025776,0.000639,-0.001250
3.054961,0.025875,0.000633,-0.001220
3.059961,0.025942,0.000626,-0.001194
3.064960,0.026046,0.000623,-0.001158
3.069960,0.026116,0.000633,-0.001143
3.074960,0.026222,0.000650,-0.001150
3.079959,0.026294,0.000662,-0.001153
3.084959,0.026402,0.000682,-0.001145
3.089958,0.026475,0.000725,-0.001153
3.094958,0.026584,0.000780,-0.001170
3.099958,0.026659,0.000794,-0.001184
3.104957,0.026771,0.000786,-0.001190
3.109957,0.026846,0.000785,-0.001197
3.114957,0.026960,0.000775,-0.001207
3.119956,0.027035,0.000763,-0.001192
3.124956,0.027145,0.000760,-0.001143
3.129956,0.027218,0.000760,-0.001103
3.134955,0.027327,0.000791,-0.001006
3.139955,0.027398,0.000832,-0.000943
3.144954,0.027504,0.000881,-0.000854
3.149954,0.027575,0.000910,-0.000810
3.154954,0.027681,0.000984,-0.000773
3.159953,0.027752,0.001033,-0.000756
3.164953,0.027853,0.001113,-0.000749
3.169953,0.027920,0.001166,-0.000735
3.174952,0.028018,0.001233,-0.000714
3.179952,0.028084,0.001268,-0.000697
3.184952,0.028180,0.001307,-0.000672
3.189951,0.028244,0.001329,-0.000672
3.194951,0.028339,0.001357,-0.000699
